directory,file_name,variable_name,variable_type,description
data,unhcrwash.rda,form_id,double,Unique Identifier for the form
data,unhcrwash.rda,start_date,date,Start Date for the data collection
data,unhcrwash.rda,end_date,date,End date for the data collection
data,unhcrwash.rda,location_id,double,Unique Identifier for the location of the refugee camp
data,unhcrwash.rda,location_name,character,Name of the location of the refugee camp
data,unhcrwash.rda,country,character,Country in which the refugee camp is located
data,unhcrwash.rda,post_emergency,character,If emergency is ongoing or not (Emergency / Post Emergency)
data,unhcrwash.rda,persons_per_handpump,double,No. of persons per usable handpump well spring
data,unhcrwash.rda,persons_per_tap,double,Number of persons per unit of usable tap water source
data,unhcrwash.rda,liters_per_person_per_day,double,Average number of litres of potable water available per person per day
data,unhcrwash.rda,non_chlorinated_0_cfu,double,Percentage of water quality tests conducted at non-chlorinated water collection points that returned results with 0 colony-forming units (CFU) per 100 milliliters
data,unhcrwash.rda,chlorinated_safe_water_quality,double,"Percentage of water quality tests at chlorinated collection points where the Free Residual Chlorine (FRC) levels were within the range of 0.2 to 2 mg/L, and turbidity was less than or equal to 5 NTU (Nephelometric Turbidity Units)"
data,unhcrwash.rda,households_with_toilet,double,"Percentage of households that have access to a household toilet or latrine, evaluated on a monthly basis"
data,unhcrwash.rda,persons_per_toilet,double,Number of persons per toilet latrine
data,unhcrwash.rda,persons_per_shower,double,Number of persons per bath shower
data,unhcrwash.rda,persons_per_hygiene_promoter,double,Number of persons per hygiene promoter
data,unhcrwash.rda,refugee_pop,double,Refugee Population
data,unhcrwash.rda,reporting_monthly,double,Monthly Reporting Period Indicator
data,unhcrwash.rda,liters_per_person_household,double,Average water (litres) collected per household per day
data,unhcrwash.rda,potable_water_storage_10l,double,Percentage of households with at least 10 litres of water storage capacity
data,unhcrwash.rda,protected_water_sources,double,Percentage of households collecting water from sheltered and treated sources
data,unhcrwash.rda,menstrual_hygiene_satisfaction,double,Percentage of women of reproductive age satisfied with facilities for management of menstrual hygiene and waste
data,unhcrwash.rda,household_toilet,double,Percentage of households with a latrine
data,unhcrwash.rda,defecate_in_toilet,double,Percentage of households defecating in a toilet
data,unhcrwash.rda,access_to_soap,double,Percentage of households with access to soap
data,unhcrwash.rda,solid_waste_disposal_access,double,Percentage of households with access to a waste disposal facility
data,unhcrwash.rda,reporting_annual,date,Annual Reporting Period Indicator
