form_id,date_start,date_end,location_id,location_name,country_name,emergency_post_emergency,number_of_persons_per_usable_handpump_well_spring,number_of_persons_per_usable_water_tap,average_number_liters_of_potable_water_available_per_person_per_day,percent_water_quality_tests_at_non_chlorinated_water_collection_locations_with_0_cfu_100ml,percent_of_water_quality_tests_at_chlorinated_collection_locations_with_frc_in_the_range_0_2_2mg_l_and_turbidity_5ntu5,percent_households_with_household_toilet_latrine_monthly,number_of_persons_per_toilet_latrine,number_of_persons_per_bath_shelter_shower,number_of_persons_per_hygiene_promoter,refugee_population,reporting_period_monthly_indicator,average_number_l_p_d_of_potable_water_collected_at_household_level,percent_households_with_at_least_10_liters_person_potable_water_storage_capacity,percent_households_collecting_drinking_water_from_protected_treated_sources,percent_of_women_of_reproductive_age_who_are_satisfied_with_menstrual_hygiene_management_materials_and_facilities,percent_households_with_household_toilet_latrine,percent_households_reporting_defecating_in_a_toilet,percent_households_with_access_to_soap,percent_households_with_access_to_solid_waste_disposal_facility,reporting_period_annual_indicator
54418187,2024-01-01,2024-12-31,518,Dagahaley,Kenya,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.2,99,98,64,42,83,87,96,2024-05-17
54418188,2024-01-01,2024-12-31,519,Hagadera,Kenya,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.4,98,97,72,39,91,75,99,2024-05-17
54418189,2024-01-01,2024-12-31,520,Ifo,Kenya,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,99,87,63,43,89,69,95,2024-05-17
54418190,2024-01-01,2024-12-31,5105,Ifo 2,Kenya,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.9,100,100,100,22,49,13,98,2024-05-17
54414021,2024-12-02,2024-12-29,541,Buramino,Ethiopia,Post-emergency,NA,NA,9,NA,100,9,73,NA,NA,49000,20058,NA,NA,NA,NA,NA,NA,NA,NA,NA
54420986,2024-09-02,2024-09-29,209,Lovua settlement,Angola,Post-emergency,NA,89,23,NA,NA,57,7,20,1043,6262,19967,NA,NA,NA,NA,NA,NA,NA,NA,NA
54420051,2024-09-02,2024-09-29,445,Arbat,Iraq,Post-emergency,NA,NA,50,100,100,100,5,5,NA,9138,19967,NA,NA,NA,NA,NA,NA,NA,NA,NA
54420052,2024-09-02,2024-09-29,446,Basirma,Iraq,Post-emergency,NA,19,17,100,100,100,5,5,NA,9294,19967,NA,NA,NA,NA,NA,NA,NA,NA,NA
54420054,2024-09-02,2024-09-29,442,Kawergosk,Iraq,Post-emergency,NA,6,115,100,100,100,6,5,974,7795,19967,NA,NA,NA,NA,NA,NA,NA,NA,NA
54420055,2024-09-02,2024-09-29,444,Qushtapa,Iraq,Post-emergency,NA,7,98,100,100,100,6,6,95,8392,19967,NA,NA,NA,NA,NA,NA,NA,NA,NA
54419956,2024-09-02,2024-09-29,518,Dagahaley,Kenya,Post-emergency,NA,133,20,NA,99,53,9,NA,6206,111725,19967,NA,NA,NA,NA,NA,NA,NA,NA,NA
